english,singular,plural,article,noun,x,y
Mug,Der Becher,Die Becher,Der,Becher,becher,0
Kit,Das Set,Die Sets,Das,Set,set,2
Communication,Die Kommunikation,Die Kommunikationen,Die,Kommunikation,kommunikation,1
Disaster,Die Katastrophe,Die Katastrophen,Die,Katastrophe,katastrophe,1
Tile,Die Fliese,Die Fliesen,Die,Fliese,fliese,1
Receiver,Der Empfänger,Die Empfänger,Der,Empfänger,empfänger,0
Roar,Das Gebrüll,-,Das,Gebrüll,gebrüll,2
Troop,Die Truppe,Die Truppen,Die,Truppe,truppe,1
Coffin,Der Sarg,Die Särge,Der,Sarg,sarg,0
Friendship,Die Freundschaft,Die Freundschaften,Die,Freundschaft,freundschaft,1
Investigation,Die Untersuchung,Die Untersuchungen,Die,Untersuchung,untersuchung,1
Sale,Der Verkauf,Die Verkäufe,Der,Verkauf,verkauf,0
Ambulance,Der Krankenwagen,Die Krankenwagen,Der,Krankenwagen,krankenwagen,0
Moonlight,Das Mondschein,-,Das,Mondschein,mondschein,2
Ward,Die Station,Die Stationen,Die,Station,station,1
Wool,Die Wolle,-,Die,Wolle,wolle,1
Mac,Der Regenmantel,Die Regenmäntel,Der,Regenmantel,regenmantel,0
Minister,Der Minister,Die Minister,Der,Minister,minister,0
Entry,Der Eintrag,Die Einträge,Der,Eintrag,eintrag,0
Thief,Der Dieb,Die Diebe,Der,Dieb,dieb,0
Briefcase,Der Aktenkoffer,Die Aktentaschen,Der,Aktenkoffer,aktenkoffer,0
Pity,Das Mitleid,-,Das,Mitleid,mitleid,2
Fingertip,Die Fingerspitze,Die Fingerspitzen,Die,Fingerspitze,fingerspitze,1
Navy,Die Marine,Die Marinen,Die,Marine,marine,1
Insect,Das Insekt,Die Insekten,Das,Insekt,insekt,2
Velvet,Der Samt,-,Der,Samt,samt,0
Bee,Die Biene,Die Bienen,Die,Biene,biene,1
Gene,Das Gen,Die Gene,Das,Gen,gen,2
Salad,Der Salat,Die Salate,Der,Salat,salat,0
Windshield,Die Windschutzscheibe,Die Windschutzscheiben,Die,Windschutzscheibe,windschutzscheibe,1
Outfit,Das Outfit,Die Outfits,Das,Outfit,outfit,2
Shuttle,Das Shuttle,Die Shuttle,Das,Shuttle,shuttle,2
Challenge,Die Herausforderung,Die Herausforderungen,Die,Herausforderung,herausforderung,1
Satisfaction,Die Zufriedenheit,-,Die,Zufriedenheit,zufriedenheit,1
Product,Das Produkt,Die Produkte,Das,Produkt,produkt,2
Weed,Das Unkraut,-,Das,Unkraut,unkraut,2
Stretch,Der Stretch,-,Der,Stretch,stretch,0
Gym,Das Fitnessstudio,Die Fitnessstudios,Das,Fitnessstudio,fitnessstudio,2
Capital,Die Hauptstadt,Die Hauptstädte,Die,Hauptstadt,hauptstadt,1
Paw,Die Pfote,Die Pfoten,Die,Pfote,pfote,1
Fort,Das Fort,Die Forts,Das,Fort,fort,2
Cost,Die Kosten,-,Die,Kosten,kosten,1
Poster,Das Poster,Die Poster,Das,Poster,poster,2
Vampire,Der Vampir,Die Vampire,Der,Vampir,vampir,0
Shaft,Der Schaft,Die Schäfte,Der,Schaft,schaft,0
Identity,Die Identität,Die Identitäten,Die,Identität,identität,1
Pavement,Der Gehweg,Die Gehwege,Der,Gehweg,gehweg,0
Asshole,Das Arschloch,Die Arschlöcher,Das,Arschloch,arschloch,2
Parlor,Der Salon,Die Salons,Der,Salon,salon,0
Example,Das Beispiel,Die Beispiele,Das,Beispiel,beispiel,2
Golf,Der Golf,(usually uncountable),Der,Golf,golf,0
Crap,Der Mist,(usually uncountable),Der,Mist,mist,0
Quilt,Die Steppdecke,Die Steppdecken,Die,Steppdecke,steppdecke,1
Tax,Die Steuer,Die Steuern,Die,Steuer,steuer,1
Fold,Die Falte,Die Falten,Die,Falte,falte,1
Portrait,Das Porträt,Die Porträts,Das,Porträt,porträt,2
Tissue,Das Gewebe,Die Gewebe,Das,Gewebe,gewebe,2
Costume,Das Kostüm,Die Kostüme,Das,Kostüm,kostüm,2
Measure,Das Maß,Die Maße,Das,Maß,maß,2
Carriage,Die Kutsche,Die Kutschen,Die,Kutsche,kutsche,1
Guitar,Die Gitarre,Die Gitarren,Die,Gitarre,gitarre,1
Knight,Der Ritter,Die Ritter,Der,Ritter,ritter,0
Rank,Der Rang,Die Ränge,Der,Rang,rang,0
Major,Der Major,Die Majore,Der,Major,major,0
Fountain,Der Brunnen,Die Brunnen,Der,Brunnen,brunnen,0
Stall,Der Stall,Die Ställe,Der,Stall,stall,0
Load,Die Ladung,Die Ladungen,Die,Ladung,ladung,1
Spark,Der Funke,Die Funken,Der,Funke,funke,0
Waste,Der Abfall,(usually uncountable),Der,Abfall,abfall,0
Champagne,Der Champagner,(usually uncountable),Der,Champagner,champagner,0
Judgment,Das Urteil,Die Urteile,Das,Urteil,urteil,2
Sympathy,Das Mitgefühl,(usually uncountable),Das,Mitgefühl,mitgefühl,2
Violet,Das Veilchen,Die Veilchen,Das,Veilchen,veilchen,2
Impact,Der Aufprall,Die Aufprälle,Der,Aufprall,aufprall,0
Disappointment,Die Enttäuschung,Die Enttäuschungen,Die,Enttäuschung,enttäuschung,1
Drinking,Das Trinken,(usually uncountable),Das,Trinken,trinken,2
Consciousness,Das Bewusstsein,(usually uncountable),Das,Bewusstsein,bewusstsein,2
Handkerchief,Das Taschentuch,Die Taschentücher,Das,Taschentuch,taschentuch,2
Dancing,Das Tanzen,(usually uncountable),Das,Tanzen,tanzen,2
Perfume,Das Parfüm,Die Parfüms,Das,Parfüm,parfüm,2
Network,Das Netzwerk,Die Netzwerke,Das,Netzwerk,netzwerk,2
Claim,Die Forderung,Die Forderungen,Die,Forderung,forderung,1
Nun,Die Nonne,Die Nonnen,Die,Nonne,nonne,1
Crown,Die Krone,Die Kronen,Die,Krone,krone,1
Railing,Das Geländer,Die Geländer,Das,Geländer,geländer,2
License,Die Lizenz,Die Lizenzen,Die,Lizenz,lizenz,1
Balloon,Der Ballon,Die Ballons,Der,Ballon,ballon,0
Chaos,Das Chaos,(usually uncountable),Das,Chaos,chaos,2
Fever,Das Fieber,(usually uncountable),Das,Fieber,fieber,2
Locker,Der Schließfach,Die Schließfächer,Der,Schließfach,schließfach,0
Session,Die Sitzung,Die Sitzungen,Die,Sitzung,sitzung,1
Burst,Der Ausbruch,Die Ausbrüche,Der,Ausbruch,ausbruch,0
Peak,Der Gipfel,Die Gipfel,Der,Gipfel,gipfel,0
Drum,Die Trommel,Die Trommeln,Die,Trommel,trommel,1
Focus,Der Fokus,Die Foki,Der,Fokus,fokus,0
Frog,Der Frosch,Die Frösche,Der,Frosch,frosch,0
Benefit,Der Nutzen,Die Nutzen,Der,Nutzen,nutzen,0
Remark,Die Bemerkung,Die Bemerkungen,Die,Bemerkung,bemerkung,1
Tide,Die Flut,Die Fluten,Die,Flut,flut,1
Suspicion,Der Verdacht,Die Verdächte,Der,Verdacht,verdacht,0
Jeep,Der Jeep,Die Jeeps,Der,Jeep,jeep,0
Literature,Die Literatur,(usually uncountable),Die,Literatur,literatur,1
Archer,Der Bogenschütze,Die Bogenschützen,Der,Bogenschütze,bogenschütze,0
Household,Der Haushalt,Die Haushalte,Der,Haushalt,haushalt,0
Powder,Das Pulver,Die Pulver,Das,Pulver,pulver,2
Shepherd,Der Hirte,Die Hirten,Der,Hirte,hirte,0
Lens,Die Linse,Die Linsen,Die,Linse,linse,1
Favorite,Der Favorit,Die Favoriten,Der,Favorit,favorit,0
Mansion,Die Villa,Die Villen,Die,Villa,villa,1
Boom,Der Boom,Die Booms,Der,Boom,boom,0
Review,Die Bewertung,Die Bewertungen,Die,Bewertung,bewertung,1
Reception,Der Empfang,Die Empfänge,Der,Empfang,empfang,0
Scrap,Der Schrott,(usually uncountable),Der,Schrott,schrott,0
Glare,Das Blenden,(usually uncountable),Das,Blenden,blenden,2
Cafe,Das Café,Die Cafés,Das,Café,café,2
Status,Der Status,Die Stati,Der,Status,status,0
Pounding,Das Hämmern,(usually uncountable),Das,Hämmern,hämmern,2
Rocket,Die Rakete,Die Raketen,Die,Rakete,rakete,1
Canyon,Die Schlucht,Die Schluchten,Die,Schlucht,schlucht,1
Spider,Die Spinne,Die Spinnen,Die,Spinne,spinne,1
Personality,Die Persönlichkeit,Die Persönlichkeiten,Die,Persönlichkeit,persönlichkeit,1
Campus,Der Campus,Die Campi,Der,Campus,campus,0
Curse,Der Fluch,Die Flüche,Der,Fluch,fluch,0
Staircase,Das Treppenhaus,Die Treppenhäuser,Das,Treppenhaus,treppenhaus,2
Urge,Der Drang,Die Dränge,Der,Drang,drang,0
Frustration,Die Frustration,(usually uncountable),Die,Frustration,frustration,1
Pump,Die Pumpe,Die Pumpen,Die,Pumpe,pumpe,1
Ease,Die Leichtigkeit,(usually uncountable),Die,Leichtigkeit,leichtigkeit,1
Solution,Die Lösung,Die Lösungen,Die,Lösung,lösung,1
Jewelry,Der Schmuck,(usually uncountable),Der,Schmuck,schmuck,0
Siren,Die Sirene,Die Sirenen,Die,Sirene,sirene,1
Hit,Der Hit,Die Hits,Der,Hit,hit,0
Tradition,Die Tradition,Die Traditionen,Die,Tradition,tradition,1
Curb,Der Bordstein,Die Bordsteine,Der,Bordstein,bordstein,0
Variety,Die Vielfalt,Die Vielfalten,Die,Vielfalt,vielfalt,1
Pirate,Der Pirat,Die Piraten,Der,Pirat,pirat,0
Description,Die Beschreibung,Die Beschreibungen,Die,Beschreibung,beschreibung,1
Pitch,Die Tonhöhe,Die Tonhöhen,Die,Tonhöhe,tonhöhe,1
Pizza,Die Pizza,Die Pizzen,Die,Pizza,pizza,1
Elephant,Der Elefant,Die Elefanten,Der,Elefant,elefant,0
Politics,Die Politik,(usually uncountable),Die,Politik,politik,1
Tennis,Das Tennis,(usually uncountable),Das,Tennis,tennis,2
Hunger,Der Hunger,(usually uncountable),Der,Hunger,hunger,0
Genius,Das Genie,Die Genies,Das,Genie,genie,2
Goat,Die Ziege,Die Ziegen,Die,Ziege,ziege,1
Victory,Der Sieg,Die Siege,Der,Sieg,sieg,0
Combination,Die Kombination,Die Kombinationen,Die,Kombination,kombination,1
Affiliation,Die Zugehörigkeit,Die Zugehörigkeiten,Die,Zugehörigkeit,zugehörigkeit,1
Cape,Das Kap,Die Kaps,Das,Kap,kap,2
Headlight,Der Scheinwerfer,Die Scheinwerfer,Der,Scheinwerfer,scheinwerfer,0
Governor,Der Gouverneur,Die Gouverneure,Der,Gouverneur,gouverneur,0
Oxygen,Der Sauerstoff,(usually uncountable),Der,Sauerstoff,sauerstoff,0
Bishop,Der Bischof,Die Bischöfe,Der,Bischof,bischof,0
Bundle,Das Bündel,Die Bündel,Das,Bündel,bündel,2
Development,Die Entwicklung,Die Entwicklungen,Die,Entwicklung,entwicklung,1
Fingernail,Der Fingernagel,Die Fingernägel,Der,Fingernagel,fingernagel,0
Score,Der Punktestand,Die Punktestände,Der,Punktestand,punktestand,0
Mate,Der Kamerad,Die Kameraden,Der,Kamerad,kamerad,0
Rider,Der Reiter,Die Reiter,Der,Reiter,reiter,0
Orbit,Die Umlaufbahn,Die Umlaufbahnen,Die,Umlaufbahn,umlaufbahn,1
Vine,Die Rebe,Die Reben,Die,Rebe,rebe,1
Suite,Die Suite,Die Suiten,Die,Suite,suite,1
Bartender,Der Barkeeper,Die Barkeeper,Der,Barkeeper,barkeeper,0
Coke,Die Cola,(usually uncountable),Die,Cola,cola,1
Tune,Die Melodie,Die Melodien,Die,Melodie,melodie,1
Glory,Der Ruhm,(usually uncountable),Der,Ruhm,ruhm,0
Rabbi,Der Rabbi,(plural form is Rabbiner),Der,Rabbi,rabbi,0
Cattle,Das Rindvieh,(usually uncountable),Das,Rindvieh,rindvieh,2
Ritual,Das Ritual,Die Rituale,Das,Ritual,ritual,2
Greeting,Der Gruß,Die Grüße,Der,Gruß,gruß,0
Slice,Die Scheibe,Die Scheiben,Die,Scheibe,scheibe,1
Homer,Der Homer,Die Homers,Der,Homer,homer,0
Fireplace,Der Kamin,Die Kamine,Der,Kamin,kamin,0
Jersey,Das Trikot,Die Trikots,Das,Trikot,trikot,2
Pop,Der Knall,Die Knalle,Der,Knall,knall,0
Inn,Die Herberge,Die Herbergen,Die,Herberge,herberge,1
Deputy,Der Stellvertreter,Die Stellvertreter,Der,Stellvertreter,stellvertreter,0
Despair,Die Verzweiflung,(usually uncountable),Die,Verzweiflung,verzweiflung,1
Jazz,Der Jazz,(usually uncountable),Der,Jazz,jazz,0
Hug,Die Umarmung,Die Umarmungen,Die,Umarmung,umarmung,1
Humanity,Die Menschheit,(usually uncountable),Die,Menschheit,menschheit,1
Craft,Das Handwerk,Die Handwerke,Das,Handwerk,handwerk,2
Daylight,Das Tageslicht,(usually uncountable),Das,Tageslicht,tageslicht,2
Slip,Die Einlage,Die Einlagen,Die,Einlage,einlage,1
Armor,Die Rüstung,Die Rüstungen,Die,Rüstung,rüstung,1
Backpack,Der Rucksack,Die Rucksäcke,Der,Rucksack,rucksack,0
Suggestion,Der Vorschlag,Die Vorschläge,Der,Vorschlag,vorschlag,0
Symbol,Das Symbol,Die Symbole,Das,Symbol,symbol,2
Colony,Die Kolonie,Die Kolonien,Die,Kolonie,kolonie,1
Conclusion,Der Schluss,Die Schlüsse,Der,Schluss,schluss,0
Nostril,Das Nasenloch,Die Nasenlöcher,Das,Nasenloch,nasenloch,2
Spear,Der Speer,Die Speere,Der,Speer,speer,0
Impulse,Der Impuls,Die Impulse,Der,Impuls,impuls,0
Tomato,Die Tomate,Die Tomaten,Die,Tomate,tomate,1
Calf,Das Kalb,Die Kälber,Das,Kalb,kalb,2
Discovery,Die Entdeckung,Die Entdeckungen,Die,Entdeckung,entdeckung,1
Classroom,Das Klassenzimmer,Die Klassenzimmer,Das,Klassenzimmer,klassenzimmer,2
Delivery,Die Lieferung,Die Lieferungen,Die,Lieferung,lieferung,1
Spray,Das Spray,Die Sprays,Das,Spray,spray,2
Liquid,Die Flüssigkeit,Die Flüssigkeiten,Die,Flüssigkeit,flüssigkeit,1
Fuel,Der Treibstoff,(usually uncountable),Der,Treibstoff,treibstoff,0
Underwear,Die Unterwäsche,(no plural form),Die,Unterwäsche,unterwäsche,1
Dome,Die Kuppel,Die Kuppeln,Die,Kuppel,kuppel,1
Population,Die Bevölkerung,(usually uncountable),Die,Bevölkerung,bevölkerung,1
Affection,Die Zuneigung,(usually uncountable),Die,Zuneigung,zuneigung,1
Religion,Die Religion,Die Religionen,Die,Religion,religion,1
Singer,Der Sänger,Die Sängerinnen,Der,Sänger,sänger,0
Attendant,Der Bedienstete,Die Bediensteten,Der,Bedienstete,bedienstete,0
Illusion,Die Illusion,Die Illusionen,Die,Illusion,illusion,1
Link,Der Link,Die Links,Der,Link,link,0
Lounge,Die Lounge,Die Lounges,Die,Lounge,lounge,1
Shrug,Das Achselzucken,(usually uncountable),Das,Achselzucken,achselzucken,2
Zone,Die Zone,Die Zonen,Die,Zone,zone,1
Standard,Der Standard,Die Standards,Der,Standard,standard,0
Coal,Die Kohle,(usually uncountable),Die,Kohle,kohle,1
Lump,Der Kloß,Die Klöße,Der,Kloß,kloß,0
Charm,Der Charme,Die Charmes,Der,Charme,charme,0
Legend,Die Legende,Die Legenden,Die,Legende,legende,1
Consequence,Die Konsequenz,Die Konsequenzen,Die,Konsequenz,konsequenz,1
Observation,Die Beobachtung,Die Beobachtungen,Die,Beobachtung,beobachtung,1
Pay,Der Lohn,Die Löhne,Der,Lohn,lohn,0
Subway,Die U-Bahn,Die U-Bahnen,Die,U-Bahn,u-bahn,1
Cherry,Die Kirsche,Die Kirschen,Die,Kirsche,kirsche,1
Dealer,Der Händler,Die Händler,Der,Händler,händler,0
Hurry,Die Eile,(usually uncountable),Die,Eile,eile,1
Mistress,Die Geliebte,Die Geliebten,Die,Geliebte,geliebte,1
Nonsense,Der Unsinn,(usually uncountable),Der,Unsinn,unsinn,0
Committee,Der Ausschuss,Die Ausschüsse,Der,Ausschuss,ausschuss,0
Echo,Das Echo,Die Echos,Das,Echo,echo,2
Slack,Der Nachgiebigkeit,(usually uncountable),Der,Nachgiebigkeit,nachgiebigkeit,0
Toast,Der Toast,Die Toasts,Der,Toast,toast,0
Facility,Die Einrichtung,Die Einrichtungen,Die,Einrichtung,einrichtung,1
Basketball,Der Basketball,(usually uncountable),Der,Basketball,basketball,0
Mustache,Der Schnurrbart,Die Schnurrbärte,Der,Schnurrbart,schnurrbart,0
Senator,Der Senator,Die Senatoren,Der,Senator,senator,0
Share,Die Aktie,Die Aktien,Die,Aktie,aktie,1
Eyelid,Das Augenlid,Die Augenlider,Das,Augenlid,augenlid,2
Enthusiasm,Die Begeisterung,(usually uncountable),Die,Begeisterung,begeisterung,1
Turtle,Die Schildkröte,Die Schildkröten,Die,Schildkröte,schildkröte,1
Alcohol,Der Alkohol,(usually uncountable),Der,Alkohol,alkohol,0
Gum,Der Kaugummi,Die Kaugummis,Der,Kaugummi,kaugummi,0
Turkey,Der Truthahn,Die Truthähne,Der,Truthahn,truthahn,0
Preacher,Der Prediger,Die Prediger,Der,Prediger,prediger,0
Possession,Der Besitz,(usually uncountable),Der,Besitz,besitz,0
Dolly,Die Sackkarre,Die Sackkarren,Die,Sackkarre,sackkarre,1
Linen,Das Leinen,(usually uncountable),Das,Leinen,leinen,2
Lecture,Der Vortrag,Die Vorträge,Der,Vortrag,vortrag,0
Boulder,Der Fels,Die Felsen,Der,Fels,fels,0
Heap,Der Haufen,Die Haufen,Der,Haufen,haufen,0
Photographer,Der Fotograf,Die Fotografen,Der,Fotograf,fotograf,0
Brake,Die Bremse,Die Bremsen,Die,Bremse,bremse,1
Demand,Die Nachfrage,Die Nachfragen,Die,Nachfrage,nachfrage,1
Apron,Die Schürze,Die Schürzen,Die,Schürze,schürze,1
Jury,Die Jury,Die Jurys,Die,Jury,jury,1
Hearing,Die Anhörung,Die Anhörungen,Die,Anhörung,anhörung,1
Gray,Das Grau,(usually uncountable),Das,Grau,grau,2
Crate,Die Kiste,Die Kisten,Die,Kiste,kiste,1
Method,Die Methode,Die Methoden,Die,Methode,methode,1
Reference,Die Referenz,Die Referenzen,Die,Referenz,referenz,1
Disgust,Der Ekel,(usually uncountable),Der,Ekel,ekel,0
Liquor,Der Schnaps,Die Schnäpse,Der,Schnaps,schnaps,0
Lipstick,Der Lippenstift,Die Lippenstifte,Der,Lippenstift,lippenstift,0
Core,Der Kern,Die Kerne,Der,Kern,kern,0
Individual,Das Individuum,Die Individuen,Das,Individuum,individuum,2
Container,Der Container,Die Container,Der,Container,container,0
Whore,Die Hure,Die Huren,Die,Hure,hure,1
Infant,Das Kleinkind,Die Kleinkinder,Das,Kleinkind,kleinkind,2
Sunglasses,Die Sonnenbrille,Die Sonnenbrillen,Die,Sonnenbrille,sonnenbrille,1
Concert,Das Konzert,Die Konzerte,Das,Konzert,konzert,2
Railroad,Die Eisenbahn,Die Eisenbahnen,Die,Eisenbahn,eisenbahn,1
Parade,Die Parade,Die Paraden,Die,Parade,parade,1
Compartment,Das Abteil,Die Abteile,Das,Abteil,abteil,2
Resident,Der Bewohner,Die Bewohner,Der,Bewohner,bewohner,0
Oven,Der Ofen,Die Öfen,Der,Ofen,ofen,0
Technician,Der Techniker,Die Techniker,Der,Techniker,techniker,0
Procedure,Das Verfahren,Die Verfahren,Das,Verfahren,verfahren,2
Fighter,Der Kämpfer,Die Kämpfer,Der,Kämpfer,kämpfer,0
Grain,Das Korn,Die Körner,Das,Korn,korn,2
Picnic,Das Picknick,Die Picknicks,Das,Picknick,picknick,2
Bud,Die Knospe,Die Knospen,Die,Knospe,knospe,1
Meadow,Die Wiese,Die Wiesen,Die,Wiese,wiese,1
Public,Die Öffentlichkeit,(usually uncountable),Die,Öffentlichkeit,öffentlichkeit,1
Poison,Das Gift,Die Gifte,Das,Gift,gift,2
Buffalo,Der Büffel,Die Büffel,Der,Büffel,büffel,0
Region,Die Region,Die Regionen,Die,Region,region,1
Production,Die Produktion,Die Produktionen,Die,Produktion,produktion,1
Running,Das Laufen,(usually uncountable),Das,Laufen,laufen,2
Loop,Die Schleife,Die Schleifen,Die,Schleife,schleife,1
Sleeping,Das Schlafen,(usually uncountable),Das,Schlafen,schlafen,2
Soda,Die Limonade,Die Limonaden,Die,Limonade,limonade,1
Owl,Die Eule,Die Eulen,Die,Eule,eule,1
Menu,Das Menü,Die Menüs,Das,Menü,menü,2
Kick,Der Tritt,Die Tritte,Der,Tritt,tritt,0
Ruin,Der Ruin,Die Ruinen,Der,Ruin,ruin,0
Ramp,Die Rampe,Die Rampen,Die,Rampe,rampe,1
Streak,Die Streif,Die Streifen,Die,Streif,streif,1
Forearm,Der Unterarm,Die Unterarme,Der,Unterarm,unterarm,0
Knuckle,Das Gelenk,Die Gelenke,Das,Gelenk,gelenk,2
Goose,Die Gans,Die Gänse,Die,Gans,gans,1
Fairy,Die Fee,Die Feen,Die,Fee,fee,1
Squad,Das Kommando,Die Kommandos,Das,Kommando,kommando,2
Brand,Die Marke,Die Marken,Die,Marke,marke,1
Organ,Das Organ,Die Organe,Das,Organ,organ,2
Butterfly,Der Schmetterling,Die Schmetterlinge,Der,Schmetterling,schmetterling,0
Empire,Das Imperium,Die Reiche,Das,Imperium,imperium,2
Profile,Das Profil,Die Profile,Das,Profil,profil,2
Disbelief,Der Unglaube,(usually uncountable),Der,Unglaube,unglaube,0
Grove,Der Hain,Die Haine,Der,Hain,hain,0
Saddle,Der Sattel,Die Sättel,Der,Sattel,sattel,0
Cluster,Der Cluster,Die Cluster,Der,Cluster,cluster,0
Satellite,Der Satellit,Die Satelliten,Der,Satellit,satellit,0
Trigger,Der Auslöser,Die Auslöser,Der,Auslöser,auslöser,0
Puppy,Der Welpe,Die Welpen,Der,Welpe,welpe,0
Waiting,Das Warten,(usually uncountable),Das,Warten,warten,2
Bulb,Die Glühbirne,Die Glühbirnen,Die,Glühbirne,glühbirne,1
Dresser,Die Kommode,Die Kommoden,Die,Kommode,kommode,1
Patrol,Die Patrouille,Die Patrouillen,Die,Patrouille,patrouille,1
Eagle,Der Adler,Die Adler,Der,Adler,adler,0
Privacy,Die Privatsphäre,(no plural form),Die,Privatsphäre,privatsphäre,1
Amusement,Die Unterhaltung,Die Unterhaltungen,Die,Unterhaltung,unterhaltung,1
Wheelchair,Der Rollstuhl,Die Rollstühle,Der,Rollstuhl,rollstuhl,0
Tobacco,Der Tabak,(usually uncountable),Der,Tabak,tabak,0
Tattoo,Das Tattoo,Die Tattoos,Das,Tattoo,tattoo,2
Burden,Die Belastung,Die Belastungen,Die,Belastung,belastung,1
Slide,Die Rutsche,Die Rutschen,Die,Rutsche,rutsche,1
Bond,Die Bindung,Die Bindungen,Die,Bindung,bindung,1
Swimming,Das Schwimmen,(usually uncountable),Das,Schwimmen,schwimmen,2
Foundation,Die Stiftung,Die Stiftungen,Die,Stiftung,stiftung,1
Injury,Die Verletzung,Die Verletzungen,Die,Verletzung,verletzung,1
League,Die Liga,Die Ligen,Die,Liga,liga,1
Battery,Die Batterie,Die Batterien,Die,Batterie,batterie,1
Umbrella,Der Regenschirm,Die Regenschirme,Der,Regenschirm,regenschirm,0
Emperor,Der Kaiser,Die Kaiser,Der,Kaiser,kaiser,0
Pier,Der Pier,Die Piers,Der,Pier,pier,0
Tap,Der Wasserhahn,Die Wasserhähne,Der,Wasserhahn,wasserhahn,0
Cutter,Der Cutter,Die Cutter,Der,Cutter,cutter,0
Attic,Der Dachboden,Die Dachböden,Der,Dachboden,dachboden,0
Tiger,Der Tiger,Die Tiger,Der,Tiger,tiger,0
Ancestor,Der Vorfahr,Die Vorfahren,Der,Vorfahr,vorfahr,0
Concentration,Die Konzentration,(usually uncountable),Die,Konzentration,konzentration,1
Blessing,Der Segen,Die Segen,Der,Segen,segen,0
Ledge,Der Vorsprung,Die Vorsprünge,Der,Vorsprung,vorsprung,0
Torch,Die Fackel,Die Fackeln,Die,Fackel,fackel,1
Ink,Die Tinte,(usually uncountable),Die,Tinte,tinte,1
Plot,Die Handlung,Die Handlungen,Die,Handlung,handlung,1
Rent,Die Miete,Die Mieten,Die,Miete,miete,1
Mule,Die Maultier,Die Maultiere,Die,Maultier,maultier,1
Environment,Die Umwelt,Die Umwelten,Die,Umwelt,umwelt,1
Inspector,Der Inspektor,Die Inspektoren,Der,Inspektor,inspektor,0
Embarrassment,Die Peinlichkeit,Die Peinlichkeiten,Die,Peinlichkeit,peinlichkeit,1
Complaint,Die Beschwerde,Die Beschwerden,Die,Beschwerde,beschwerde,1
Portion,Die Portion,Die Portionen,Die,Portion,portion,1
Chuck,Die Wegwerfen,(usually uncountable),Die,Wegwerfen,wegwerfen,1
Clearing,Die Lichtung,Die Lichtungen,Die,Lichtung,lichtung,1
Crisis,Die Krise,Die Krisen,Die,Krise,krise,1
Necklace,Die Halskette,Die Halsketten,Die,Halskette,halskette,1
Lantern,Die Laterne,Die Laternen,Die,Laterne,laterne,1
Wealth,Der Reichtum,(usually uncountable),Der,Reichtum,reichtum,0
Civilization,Die Zivilisation,Die Zivilisationen,Die,Zivilisation,zivilisation,1
Concept,Das Konzept,Die Konzepte,Das,Konzept,konzept,2
Lamb,Das Lamm,Die Lämmer,Das,Lamm,lamm,2
Cuff,Das Manschette,Die Manschetten,Das,Manschette,manschette,2
Virgin,Die Jungfrau,Die Jungfrauen,Die,Jungfrau,jungfrau,1
Squirrel,Das Eichhörnchen,Die Eichhörnchen,Das,Eichhörnchen,eichhörnchen,2
Starling,Der Star,Die Stare,Der,Star,star,0
Depression,Die Depression,Die Depressionen,Die,Depression,depression,1
Storage,Die Lagerung,Die Lagerungen,Die,Lagerung,lagerung,1
Altar,Der Altar,Die Altäre,Der,Altar,altar,0
Tragedy,Die Tragödie,Die Tragödien,Die,Tragödie,tragödie,1
Resource,Die Ressource,Die Ressourcen,Die,Ressource,ressource,1
Traveler,Der Reisende,Die Reisenden,Der,Reisende,reisende,0
Kingdom,Das Königreich,Die Königreiche,Das,Königreich,königreich,2
Jewel,Das Juwel,Die Juwelen,Das,Juwel,juwel,2
Musician,Der Musiker,Die Musiker,Der,Musiker,musiker,0
Sunshine,Der Sonnenschein,(usually uncountable),Der,Sonnenschein,sonnenschein,0
Elf,Der Elf,Die Elfen,Der,Elf,elf,0
Protest,Der Protest,Die Proteste,Der,Protest,protest,0
Executive,Der Geschäftsführer,Die Geschäftsführer,Der,Geschäftsführer,geschäftsführer,0
Diary,Das Tagebuch,Die Tagebücher,Das,Tagebuch,tagebuch,2
Aspect,Der Aspekt,Die Aspekte,Der,Aspekt,aspekt,0
Dial,Das Zifferblatt,Die Zifferblätter,Das,Zifferblatt,zifferblatt,2
Slipper,Der Pantoffel,Die Pantoffel,Der,Pantoffel,pantoffel,0
Actress,Die Schauspielerin,Die Schauspielerinnen,Die,Schauspielerin,schauspielerin,1
Shooting,Das Schießen,(usually uncountable),Das,Schießen,schießen,2
Earring,Der Ohrring,Die Ohrringe,Der,Ohrring,ohrring,0
Ant,Die Ameise,Die Ameisen,Die,Ameise,ameise,1
Patty,Das Brötchen,Die Brötchen,Das,Brötchen,brötchen,2
Sauce,Die Sauce,Die Saucen,Die,Sauce,sauce,1
Intensity,Die Intensität,(usually uncountable),Die,Intensität,intensität,1
Ditch,Der Graben,Die Gräben,Der,Graben,graben,0
Daisy,Das Gänseblümchen,Die Gänseblümchen,Das,Gänseblümchen,gänseblümchen,2
Chapel,Die Kapelle,Die Kapellen,Die,Kapelle,kapelle,1
Swamp,Das Sumpf,Die Sümpfe,Das,Sumpf,sumpf,2
Guess,Die Vermutung,Die Vermutungen,Die,Vermutung,vermutung,1
Crane,Der Kran,Die Kräne,Der,Kran,kran,0
Encounter,Das Aufeinandertreffen,Die Aufeinandertreffen,Das,Aufeinandertreffen,aufeinandertreffen,2
