english,singular,plural,article,noun,x,y,possessive,croatian
Application,Die Anwendung,Die Anwendungen,Die,Anwendung,anwendung,1,Meine Anwendung,Moja prijava
Physics,Die Physik,(usually uncountable),Die,Physik,physik,1,Meine Physik,Moja fizika
Neon,Das Neon,(usually uncountable),Das,Neon,neon,2,Mein Neon,Moj neon
Airlock,Die Luftschleuse,Die Luftschleusen,Die,Luftschleuse,luftschleuse,1,Meine Luftschleuse,Moja zračna komora
Fatigue,Die Ermüdung,(usually uncountable),Die,Ermüdung,ermüdung,1,Meine Ermüdung,Moj umor
Thanksgiving,Der Dank,(usually uncountable),Der,Dank,dank,0,Mein Dank,Moja hvala
Manuscript,Das Manuskript,Die Manuskripte,Das,Manuskript,manuskript,2,Mein Manuskript,Moj rukopis
Basis,Die Basis,Die Basen,Die,Basis,basis,1,Meine Basis,Moja baza
Memorial,Das Denkmal,Die Denkmäler,Das,Denkmal,denkmal,2,Mein Denkmal,Moj spomenik
Cupboard,Der Schrank,Die Schränke,Der,Schrank,schrank,0,Mein Schrank,Moj ormar
Leap,Der Sprung,Die Sprünge,Der,Sprung,sprung,0,Mein Sprung,Moj skok
Japanese,Der Japaner,Die Japaner,Der,Japaner,japaner,0,Mein Japaner,Moj japanski
Engineering,Das Ingenieurwesen,(usually uncountable),Das,Ingenieurwesen,ingenieurwesen,2,Mein Ingenieurwesen,Moj inženjering
Left,Die Linke,(usually uncountable),Die,Linke,linke,1,Meine Linke,Moja lijeva
Ache,Der Schmerz,Die Schmerzen,Der,Schmerz,schmerz,0,Mein Schmerz,Moja bol
Bronze,Die Bronze,(usually uncountable),Die,Bronze,bronze,1,Meine Bronze,Moja bronca
Association,Die Vereinigung,Die Vereinigungen,Die,Vereinigung,vereinigung,1,Meine Vereinigung,Moja udruga
Fleet,Die Flotte,Die Flotten,Die,Flotte,flotte,1,Meine Flotte,Moja flota
Marker,Der Marker,Die Marker,Der,Marker,marker,0,Mein Marker,Moj marker
Prey,Die Beute,(usually uncountable),Die,Beute,beute,1,Meine Beute,Moj plijen
Dove,Die Taube,Die Tauben,Die,Taube,taube,1,Meine Taube,Moja golubica
Grasp,Der Griff,Die Griffe,Der,Griff,griff,0,Mein Griff,Moj stisak
Episode,Die Episode,Die Episoden,Die,Episode,episode,1,Meine Episode,Moja epizoda
Origin,Der Ursprung,Die Ursprünge,Der,Ursprung,ursprung,0,Mein Ursprung,Moje podrijetlo
Vacuum,Das Vakuum,Die Vakua,Das,Vakuum,vakuum,2,Mein Vakuum,Moj usisavač
Cathedral,Die Kathedrale,Die Kathedralen,Die,Kathedrale,kathedrale,1,Meine Kathedrale,Moja katedrala
Management,Das Management,(usually uncountable),Das,Management,management,2,Mein Management,Moj menadžment
Down,Die Daune,Die Daunen,Die,Daune,daune,1,Meine Daune,Moj dolje
Continent,Der Kontinent,Die Kontinente,Der,Kontinent,kontinent,0,Mein Kontinent,Moj kontinent
Dickens,Der Dickens,(usually uncountable),Der,Dickens,dickens,0,Mein Dickens,Moj Dickens
Volunteer,Der Freiwillige,Die Freiwilligen,Der,Freiwillige,freiwillige,0,Mein Freiwillige,Moj volonter
Soccer,Der Fußball,(usually uncountable),Der,Fußball,fußball,0,Mein Fußball,Moj nogomet
Hem,Der Saum,Die Säume,Der,Saum,saum,0,Mein Saum,Moj rub
Mention,Die Erwähnung,Die Erwähnungen,Die,Erwähnung,erwähnung,1,Meine Erwähnung,Moje spominjanje
Lust,Die Lust,(usually uncountable),Die,Lust,lust,1,Meine Lust,Moja požuda
Giggle,Das Kichern,(usually uncountable),Das,Kichern,kichern,2,Mein Kichern,Moje hihotanje
Classmate,Der Klassenkamerad,Die Klassenkameraden,Der,Klassenkamerad,klassenkamerad,0,Mein Klassenkamerad,Moj kolega iz razreda
Cleaning,Das Reinigen,(usually uncountable),Das,Reinigen,reinigen,2,Mein Reinigen,Moje čišćenje
Receptionist,Der Empfangsmitarbeiter,Die Empfangsmitarbeiter,Der,Empfangsmitarbeiter,empfangsmitarbeiter,0,Mein Empfangsmitarbeiter,Moja recepcionarka
Caller,Die Anrufer,(plural noun),Die,Anrufer,anrufer,1,Meine Anrufer,Moji pozivatelji
Pursuit,Die Verfolgung,Die Verfolgungen,Die,Verfolgung,verfolgung,1,Meine Verfolgung,Moj progon
Contempt,Die Verachtung,(usually uncountable),Die,Verachtung,verachtung,1,Meine Verachtung,Moj prezir
Sacrifice,Das Opfer,Die Opfer,Das,Opfer,opfer,2,Mein Opfer,Moja žrtva
Grandparent,Der Großelternteil,Die Großelternteile,Der,Großelternteil,großelternteil,0,Mein Großelternteil,Moj djed i baka
Threshold,Die Schwelle,Die Schwellen,Die,Schwelle,schwelle,1,Meine Schwelle,Moj prag
Deed,Die Tat,Die Taten,Die,Tat,tat,1,Meine Tat,Moje djelo
Countryside,Die Landschaft,Die Landschaften,Die,Landschaft,landschaft,1,Meine Landschaft,Moj krajolik
Artifact,Das Artefakt,Die Artefakte,Das,Artefakt,artefakt,2,Mein Artefakt,Moj artefakt
Wrinkle,Die Falte,Die Falten,Die,Falte,falte,1,Meine Falte,Moja bora
Magician,Der Magier,Die Magier,Der,Magier,magier,0,Mein Magier,Moj mađioničar
Pang,Die Schmerzen,(plural noun),Die,Schmerzen,schmerzen,1,Meine Schmerzen,Moji bolovi
Italian,Der Italiener,Die Italiener,Der,Italiener,italiener,0,Mein Italiener,Moj talijanski
Eternity,Die Ewigkeit,(usually uncountable),Die,Ewigkeit,ewigkeit,1,Meine Ewigkeit,Moja vječnost
Slate,Die Schiefertafel,Die Schiefertafeln,Die,Schiefertafel,schiefertafel,1,Meine Schiefertafel,Moja ploča
Stairwell,Das Treppenhaus,Die Treppenhäuser,Das,Treppenhaus,treppenhaus,2,Mein Treppenhaus,Moje stubište
Announcement,Die Ankündigung,Die Ankündigungen,Die,Ankündigung,ankündigung,1,Meine Ankündigung,Moja objava
Motive,Das Motiv,Die Motive,Das,Motiv,motiv,2,Mein Motiv,Moj motiv
Mechanic,Der Mechaniker,Die Mechaniker,Der,Mechaniker,mechaniker,0,Mein Mechaniker,Moj mehaničar
Ally,Der Verbündete,Die Verbündeten,Der,Verbündete,verbündete,0,Mein Verbündete,Moj saveznik
Vase,Die Vase,Die Vasen,Die,Vase,vase,1,Meine Vase,Moja vaza
Salesman,Der Verkäufer,Die Verkäufer,Der,Verkäufer,verkäufer,0,Mein Verkäufer,Moj prodavač
Therapist,Der Therapeut,Die Therapeuten,Der,Therapeut,therapeut,0,Mein Therapeut,Moj terapeut
Granny,Die Oma,Die Omas,Die,Oma,oma,1,Meine Oma,Moja baka
Maverick,Der Einzelgänger,Die Einzelgänger,Der,Einzelgänger,einzelgänger,0,Mein Einzelgänger,Moj usamljenik
Bandage,Der Verband,Die Verbände,Der,Verband,verband,0,Mein Verband,Moja udruga
Ham,Der Schinken,(usually uncountable),Der,Schinken,schinken,0,Mein Schinken,Moja šunka
Carter,Der Carter,Die Carter,Der,Carter,carter,0,Mein Carter,Moj Carter
Investment,Die Investition,Die Investitionen,Die,Investition,investition,1,Meine Investition,Moje ulaganje
Appeal,Der Reiz,Die Reize,Der,Reiz,reiz,0,Mein Reiz,Moj šarm
Innocence,Die Unschuld,(usually uncountable),Die,Unschuld,unschuld,1,Meine Unschuld,Moja nevinost
Calendar,Der Kalender,Die Kalender,Der,Kalender,kalender,0,Mein Kalender,Moj kalendar
Rooftop,Das Dach,Die Dächer,Das,Dach,dach,2,Mein Dach,Moj krov
Combat,Der Kampf,Die Kämpfe,Der,Kampf,kampf,0,Mein Kampf,Mein Kampf
Revelation,Die Offenbarung,Die Offenbarungen,Die,Offenbarung,offenbarung,1,Meine Offenbarung,Moja objava
Pancake,Der Pfannkuchen,Die Pfannkuchen,Der,Pfannkuchen,pfannkuchen,0,Mein Pfannkuchen,Moja palačinka
Asteroid,Der Asteroid,Die Asteroiden,Der,Asteroid,asteroid,0,Mein Asteroid,Moj asteroid
Postcard,Die Postkarte,Die Postkarten,Die,Postkarte,postkarte,1,Meine Postkarte,Moja razglednica
Garment,Das Kleidungsstück,Die Kleidungsstücke,Das,Kleidungsstück,kleidungsstück,2,Mein Kleidungsstück,Moja odjeća
Determination,Die Bestimmung,Die Bestimmungen,Die,Bestimmung,bestimmung,1,Meine Bestimmung,Moja svrha
Tractor,Der Traktor,Die Traktoren,Der,Traktor,traktor,0,Mein Traktor,Moj traktor
Berry,Die Beere,Die Beeren,Die,Beere,beere,1,Meine Beere,Moja bobica
Surroundings,Die Umgebung,Die Umgebungen,Die,Umgebung,umgebung,1,Meine Umgebung,Moje okruženje
Clump,Der Klumpen,Die Klumpen,Der,Klumpen,klumpen,0,Mein Klumpen,Moja kvržica
Offense,Die Straftat,Die Straftaten,Die,Straftat,straftat,1,Meine Straftat,Moj zločin
Introduction,Die Einführung,Die Einführungen,Die,Einführung,einführung,1,Meine Einführung,Moj uvod
Butler,Der Butler,Die Diener,Der,Butler,butler,0,Mein Butler,Moj batler
Cough,Der Husten,Die Husten,Der,Husten,husten,0,Mein Husten,Moj kašalj
Granite,Der Granit,(usually uncountable),Der,Granit,granit,0,Mein Granit,Moj granit
Ambassador,Der Botschafter,Die Botschafter,Der,Botschafter,botschafter,0,Mein Botschafter,Moj ambasador
Turning,Die Abbiegung,Die Abbiegungen,Die,Abbiegung,abbiegung,1,Meine Abbiegung,Moj red
Sitting,Das Sitzen,(usually uncountable),Das,Sitzen,sitzen,2,Mein Sitzen,Moje sjedenje
Compliment,Das Kompliment,Die Komplimente,Das,Kompliment,kompliment,2,Mein Kompliment,Moji komplimenti
Carton,Der Karton,Die Kartons,Der,Karton,karton,0,Mein Karton,Moja kutija
Doorbell,Die Türklingel,Die Türklingeln,Die,Türklingel,türklingel,1,Meine Türklingel,Moje zvono na vratima
Certainty,Die Gewissheit,Die Gewissheiten,Die,Gewissheit,gewissheit,1,Meine Gewissheit,Moja sigurnost
Politician,Der Politiker,Die Politiker,Der,Politiker,politiker,0,Mein Politiker,Moj političar
Gratitude,Die Dankbarkeit,(usually uncountable),Die,Dankbarkeit,dankbarkeit,1,Meine Dankbarkeit,Moja zahvalnost
Current,Der Strom,Die Ströme,Der,Strom,strom,0,Mein Strom,Moja struja
Gloom,Die Dunkelheit,(usually uncountable),Die,Dunkelheit,dunkelheit,1,Meine Dunkelheit,Moja tama
Plaster,Der Gips,(usually uncountable),Der,Gips,gips,0,Mein Gips,Moja glumačka postava
Settlement,Die Siedlung,Die Siedlungen,Die,Siedlung,siedlung,1,Meine Siedlung,Moje naselje
Chop,Der Hacken,Die Hacken,Der,Hacken,hacken,0,Mein Hacken,Moj hak
Homicide,Der Totschlag,Die Totschläge,Der,Totschlag,totschlag,0,Mein Totschlag,Moje ubojstvo iz nehata
Aluminum,Das Aluminium,(usually uncountable),Das,Aluminium,aluminium,2,Mein Aluminium,Moj aluminij
Boulevard,Die Allee,Die Alleen,Die,Allee,allee,1,Meine Allee,Moja avenija
Pupil,Der Schüler,Die Schüler,Der,Schüler,schüler,0,Mein Schüler,Moj učenik
Float,Die Schwimmhilfe,Die Schwimmhilfen,Die,Schwimmhilfe,schwimmhilfe,1,Meine Schwimmhilfe,Moje pomagalo za uzgon
Profession,Der Beruf,Die Berufe,Der,Beruf,beruf,0,Mein Beruf,Moja profesija
Retreat,Der Rückzugsort,Die Rückzugsorte,Der,Rückzugsort,rückzugsort,0,Mein Rückzugsort,Moje povlačenje
Intersection,Die Kreuzung,Die Kreuzungen,Die,Kreuzung,kreuzung,1,Meine Kreuzung,Moje sjecište
Scheme,Das Schema,Die Schemata,Das,Schema,schema,2,Mein Schema,Moja shema
Emptiness,Die Leere,(usually uncountable),Die,Leere,leere,1,Meine Leere,Moja praznina
Publisher,Der Verleger,Die Verleger,Der,Verleger,verleger,0,Mein Verleger,Moj izdavač
Circus,Der Zirkus,Die Zirkusse,Der,Zirkus,zirkus,0,Mein Zirkus,Moj cirkus
Dimension,Die Dimension,Die Dimensionen,Die,Dimension,dimension,1,Meine Dimension,Moja dimenzija
Zoo,Der Zoo,Die Zoos,Der,Zoo,zoo,0,Mein Zoo,Moj zoološki vrt
Sickness,Die Krankheit,Die Krankheiten,Die,Krankheit,krankheit,1,Meine Krankheit,Moja bolest
Messenger,Der Bote,Die Boten,Der,Bote,bote,0,Mein Bote,Moj glasnik
Beau,Der Schatz,Die Schätze,Der,Schatz,schatz,0,Mein Schatz,Dragana
Tangle,Das Gewirr,Die Gewirre,Das,Gewirr,gewirr,2,Mein Gewirr,Moj splet
Personnel,Das Personal,(usually uncountable),Das,Personal,personal,2,Mein Personal,Moje osoblje
Strategy,Die Strategie,Die Strategien,Die,Strategie,strategie,1,Meine Strategie,Moja strategija
Desperation,Die Verzweiflung,(usually uncountable),Die,Verzweiflung,verzweiflung,1,Meine Verzweiflung,Moj očaj
Businessman,Der Geschäftsmann,Die Geschäftsleute,Der,Geschäftsmann,geschäftsmann,0,Mein Geschäftsmann,Moj poslovni čovjek
Pod,Die Hülse,Die Hülsen,Die,Hülse,hülse,1,Meine Hülse,Moja kapsula
Drain,Der Abfluss,Die Abflüsse,Der,Abfluss,abfluss,0,Mein Abfluss,Moj odvod
Strawberry,Die Erdbeere,Die Erdbeeren,Die,Erdbeere,erdbeere,1,Meine Erdbeere,Moja jagoda
Anniversary,Das Jubiläum,Die Jubiläen,Das,Jubiläum,jubiläum,2,Mein Jubiläum,Moja godišnjica
Binoculars,Das Fernglas,Die Ferngläser,Das,Fernglas,fernglas,2,Mein Fernglas,Moj dalekozor
Gulf,Der Golf,Die Golf,Der,Golf,golf,0,Mein Golf,Moj golf
Discipline,Die Disziplin,(usually uncountable),Die,Disziplin,disziplin,1,Meine Disziplin,Moja disciplina
Hedge,Die Hecke,Die Hecken,Die,Hecke,hecke,1,Meine Hecke,Moja živica
Moan,Das Stöhnen,(usually uncountable),Das,Stöhnen,stöhnen,2,Mein Stöhnen,Moji jauci
Income,Das Einkommen,Die Einkommen,Das,Einkommen,einkommen,2,Mein Einkommen,Moj prihod
Myth,Der Mythos,Die Mythen,Der,Mythos,mythos,0,Mein Mythos,Moj mit
Shutter,Der Verschluss,Die Verschlüsse,Der,Verschluss,verschluss,0,Mein Verschluss,Moj završetak
Raft,Das Floß,Die Floße,Das,Floß,floß,2,Mein Floß,Moja splav
Physician,Der Arzt,Die Ärzte,Der,Arzt,arzt,0,Mein Arzt,Moj liječnik
Ambition,Der Ehrgeiz,(usually uncountable),Der,Ehrgeiz,ehrgeiz,0,Mein Ehrgeiz,Moja ambicija
Camel,Das Kamel,Die Kamele,Das,Kamel,kamel,2,Mein Kamel,Moja deva
Beating,Das Schlagen,(usually uncountable),Das,Schlagen,schlagen,2,Mein Schlagen,Moje premlaćivanje
Acid,Die Säure,Die Säuren,Die,Säure,säure,1,Meine Säure,Moja kiselost
Cereal,Das Getreide,(usually uncountable),Das,Getreide,getreide,2,Mein Getreide,Moje zrno
Basin,Das Becken,Die Becken,Das,Becken,becken,2,Mein Becken,Moj tenk
Nightgown,Das Nachthemd,Die Nachthemden,Das,Nachthemd,nachthemd,2,Mein Nachthemd,Moja spavaćica
Internet,Das Internet,(usually uncountable),Das,Internet,internet,2,Mein Internet,Moj internet
Cockpit,Das Cockpit,Die Cockpits,Das,Cockpit,cockpit,2,Mein Cockpit,Moj kokpit
Wreck,Das Wrack,Die Wracks,Das,Wrack,wrack,2,Mein Wrack,Moja olupina
Wig,Die Perücke,Die Perücken,Die,Perücke,perücke,1,Meine Perücke,Moja perika
Rein,Der Zügel,Die Zügel,Der,Zügel,zügel,0,Mein Zügel,Moje uzde
Recorder,Der Rekorder,Die Rekorder,Der,Rekorder,rekorder,0,Mein Rekorder,Moj snimač
Pork,Das Schweinefleisch,(usually uncountable),Das,Schweinefleisch,schweinefleisch,2,Mein Schweinefleisch,Moja svinjetina
Hound,Der Hund,Die Hunde,Der,Hund,hund,0,Mein Hund,Moj pas
Boundary,Die Grenze,Die Grenzen,Die,Grenze,grenze,1,Meine Grenze,Moja granica
Exam,Die Prüfung,Die Prüfungen,Die,Prüfung,prüfung,1,Meine Prüfung,Moj ispit
Courtesy,Die Höflichkeit,(usually uncountable),Die,Höflichkeit,höflichkeit,1,Meine Höflichkeit,Moja ljubaznost
Assistance,Die Hilfe,(usually uncountable),Die,Hilfe,hilfe,1,Meine Hilfe,Moja pomoć
Cheekbone,Der Wangenknochen,Die Wangenknochen,Der,Wangenknochen,wangenknochen,0,Mein Wangenknochen,Moja jagodična kost
Whip,Die Peitsche,Die Peitschen,Die,Peitsche,peitsche,1,Meine Peitsche,Moj bič
Pilgrim,Der Pilger,Die Pilger,Der,Pilger,pilger,0,Mein Pilger,Moj hodočasnik
Grease,Das Fett,(usually uncountable),Das,Fett,fett,2,Mein Fett,Moja mast
Collapse,Der Zusammenbruch,Die Zusammenbrüche,Der,Zusammenbruch,zusammenbruch,0,Mein Zusammenbruch,Moj slom
Faculty,Die Fakultät,Die Fakultäten,Die,Fakultät,fakultät,1,Meine Fakultät,Moj fakultet
Reminder,Die Erinnerung,Die Erinnerungen,Die,Erinnerung,erinnerung,1,Meine Erinnerung,Moje pamćenje
Sage,Der Weise,Die Weisen,Der,Weise,weise,0,Mein Weise,Moj mudrac
Asphalt,Der Asphalt,(usually uncountable),Der,Asphalt,asphalt,0,Mein Asphalt,Moj asfalt
Privilege,Das Privileg,Die Privilegien,Das,Privileg,privileg,2,Mein Privileg,Moja privilegija
Stairway,Die Treppe,Die Treppen,Die,Treppe,treppe,1,Meine Treppe,Moje stepenice
Maintenance,Die Wartung,(usually uncountable),Die,Wartung,wartung,1,Meine Wartung,Moje održavanje
Sweetie,Der Schatz,Die Schätze,Der,Schatz,schatz,0,Mein Schatz,Dragana
Orchard,Der Obstgarten,Die Obstgärten,Der,Obstgarten,obstgarten,0,Mein Obstgarten,Moj voćnjak
Cot,Der Kinderbett,Die Kinderbetten,Der,Kinderbett,kinderbett,0,Mein Kinderbett,Moj krevetić
Pouch,Die Tasche,Die Taschen,Die,Tasche,tasche,1,Meine Tasche,Moja torba
Lighter,Das Feuerzeug,Die Feuerzeuge,Das,Feuerzeug,feuerzeug,2,Mein Feuerzeug,Moj upaljač
Kitty,Das Kätzchen,Die Kätzchen,Das,Kätzchen,kätzchen,2,Mein Kätzchen,Moj mačić
Formation,Die Formation,Die Formationen,Die,Formation,formation,1,Meine Formation,Moja formacija
Snack,Der Snack,Die Snacks,Der,Snack,snack,0,Mein Snack,Moja grickalica
Talking,Das Reden,(usually uncountable),Das,Reden,reden,2,Mein Reden,Moj razgovor
Op,Der Einsatz,Die Einsätze,Der,Einsatz,einsatz,0,Mein Einsatz,Moja misija
Shriek,Der Schrei,Die Schreie,Der,Schrei,schrei,0,Mein Schrei,Moj vrisak
Sculpture,Die Skulptur,Die Skulpturen,Die,Skulptur,skulptur,1,Meine Skulptur,Moja skulptura
Chairman,Der Vorsitzende,Die Vorsitzenden,Der,Vorsitzende,vorsitzende,0,Mein Vorsitzende,Moj predsjednik
Sum,Die Summe,Die Summen,Die,Summe,summe,1,Meine Summe,Moj zbroj
Carrot,Die Möhre,Die Möhren,Die,Möhre,möhre,1,Meine Möhre,Moja mrkva
Ripple,Die Welle,Die Wellen,Die,Welle,welle,1,Meine Welle,Moj val
Stripe,Der Streifen,Die Streifen,Der,Streifen,streifen,0,Mein Streifen,Moja traka
Cavern,Die Höhle,Die Höhlen,Die,Höhle,höhle,1,Meine Höhle,Moja špilja
Radar,Das Radar,(usually uncountable),Das,Radar,radar,2,Mein Radar,Moj radar
Ponytail,Der Pferdeschwanz,Die Pferdeschwänze,Der,Pferdeschwanz,pferdeschwanz,0,Mein Pferdeschwanz,Moj rep
Designer,Der Designer,Die Designer,Der,Designer,designer,0,Mein Designer,Moj dizajner
Surge,Der Schub,Die Schübe,Der,Schub,schub,0,Mein Schub,Moj poticaj
Heir,Der Erbe,Die Erben,Der,Erbe,erbe,0,Mein Erbe,Moje nasljeđe
Vault,Das Gewölbe,Die Gewölbe,Das,Gewölbe,gewölbe,2,Mein Gewölbe,Moj trezor
Sissy,Die Memme,Die Memmen,Die,Memme,memme,1,Meine Memme,Moj
Scotch,Der Whisky,Die Whiskys,Der,Whisky,whisky,0,Mein Whisky,Moj viski
Stillness,Die Stille,(usually uncountable),Die,Stille,stille,1,Meine Stille,Moja šutnja
Tunic,Die Tunika,Die Tuniken,Die,Tunika,tunika,1,Meine Tunika,Moja tunika
Think,Der Gedanke,Die Gedanken,Der,Gedanke,gedanke,0,Mein Gedanke,Moja misao
Penis,Der Penis,Die Penisse,Der,Penis,penis,0,Mein Penis,Moj penis
Native,Der Eingeborene,Die Eingeborenen,Der,Eingeborene,eingeborene,0,Mein Eingeborene,Moj rodni
Lovemaking,Der Liebesakt,Die Liebesakte,Der,Liebesakt,liebesakt,0,Mein Liebesakt,Moj čin ljubavi
Aide,Der Helfer,Die Helfer,Der,Helfer,helfer,0,Mein Helfer,Moj pomoćnik
Bulk,Die Masse,(usually uncountable),Die,Masse,masse,1,Meine Masse,Moja misa
Poker,Der Poker,Die Pokers,Der,Poker,poker,0,Mein Poker,Moj poker
Lime,Die Limette,Die Limetten,Die,Limette,limette,1,Meine Limette,Moja limeta
Surveillance,Die Überwachung,(usually uncountable),Die,Überwachung,überwachung,1,Meine Überwachung,Moj nadzor
Assembly,Die Versammlung,Die Versammlungen,Die,Versammlung,versammlung,1,Meine Versammlung,Moja skupština
Grandson,Der Enkel,Die Enkel,Der,Enkel,enkel,0,Mein Enkel,Moj unuk
Chopper,Der Hubschrauber,Die Hubschrauber,Der,Hubschrauber,hubschrauber,0,Mein Hubschrauber,Moj helikopter
Carrier,Der Träger,Die Träger,Der,Träger,träger,0,Mein Träger,Moj nositelj
Engagement,Das Engagement,Die Engagements,Das,Engagement,engagement,2,Mein Engagement,Moja predanost
Kin,Die Verwandtschaft,(usually uncountable),Die,Verwandtschaft,verwandtschaft,1,Meine Verwandtschaft,Moja rodbina
Mum,Die Mutter,Die Mütter,Die,Mutter,mutter,1,Meine Mutter,Moja majka
Lighting,Das Licht,(usually uncountable),Das,Licht,licht,2,Mein Licht,Moje svjetlo
Fit,Die Passform,Die Passformen,Die,Passform,passform,1,Meine Passform,Moj fit
Pull,Der Zug,Die Züge,Der,Zug,zug,0,Mein Zug,Moj vlak
Verge,Der Rand,Die Ränder,Der,Rand,rand,0,Mein Rand,Moj rub
Farmhouse,Das Bauernhaus,Die Bauernhäuser,Das,Bauernhaus,bauernhaus,2,Mein Bauernhaus,Moja seoska kuća
Wait,Die Wartezeit,Die Wartezeiten,Die,Wartezeit,wartezeit,1,Meine Wartezeit,Moje vrijeme čekanja
Assassin,Der Attentäter,Die Attentäter,Der,Attentäter,attentäter,0,Mein Attentäter,Moj ubojica
Foam,Der Schaum,Die Schäume,Der,Schaum,schaum,0,Mein Schaum,Moja pjena
Tug,Der Schlepper,Die Schlepper,Der,Schlepper,schlepper,0,Mein Schlepper,Moj traktor
Journalist,Der Journalist,Die Journalisten,Der,Journalist,journalist,0,Mein Journalist,Moj novinar
Recording,Die Aufnahme,Die Aufnahmen,Die,Aufnahme,aufnahme,1,Meine Aufnahme,Moja snimka
Cure,Die Heilung,Die Heilungen,Die,Heilung,heilung,1,Meine Heilung,Moje iscjeljenje
Descent,Der Abstieg,Die Abstiege,Der,Abstieg,abstieg,0,Mein Abstieg,Moj silazak
Ringing,Das Klingeln,(usually uncountable),Das,Klingeln,klingeln,2,Mein Klingeln,Moje zvonjenje
Scissors,Die Schere,Die Scheren,Die,Schere,schere,1,Meine Schere,Moje škare
Twig,Der Zweig,Die Zweige,Der,Zweig,zweig,0,Mein Zweig,Moja podružnica
Resort,Das Resort,Die Resorts,Das,Resort,resort,2,Mein Resort,Moje odmaralište
Guardian,Der Wächter,Die Wächter,Der,Wächter,wächter,0,Mein Wächter,Moj skrbnik
Opponent,Der Gegner,Die Gegner,Der,Gegner,gegner,0,Mein Gegner,Moj protivnik
Chef,Der Chef,Die Chefs,Der,Chef,chef,0,Mein Chef,Moj šef
Wheat,Der Weizen,(usually uncountable),Der,Weizen,weizen,0,Mein Weizen,Moja pšenica
Hurricane,Der Hurrikan,Die Hurrikane,Der,Hurrikan,hurrikan,0,Mein Hurrikan,Moj uragan
Playground,Der Spielplatz,Die Spielplätze,Der,Spielplatz,spielplatz,0,Mein Spielplatz,Moje igralište
Mushroom,Der Pilz,Die Pilze,Der,Pilz,pilz,0,Mein Pilz,Moja gljiva
Keyboard,Die Tastatur,Die Tastaturen,Die,Tastatur,tastatur,1,Meine Tastatur,Moja tipkovnica
Cedar,Die Zeder,Die Zedern,Die,Zeder,zeder,1,Meine Zeder,Moj cedar
Crest,Die Crest,Die Crests,Die,Crest,crest,1,Meine Crest,Moj grb
Jasmine,Die Jasmin,Die Jasmin,Die,Jasmin,jasmin,1,Meine Jasmin,Moj Jasmin
Armchair,Der Sessel,Die Sessel,Der,Sessel,sessel,0,Mein Sessel,Moja fotelja
Attraction,Die Attraktion,Die Attraktionen,Die,Attraktion,attraktion,1,Meine Attraktion,Moja privlačnost
Blind,Die Jalousie,Die Jalousien,Die,Jalousie,jalousie,1,Meine Jalousie,Moja slijepa
Cylinder,Der Zylinder,Die Zylinder,Der,Zylinder,zylinder,0,Mein Zylinder,Moj cilindar
Swallow,Die Schwalbe,Die Schwalben,Die,Schwalbe,schwalbe,1,Meine Schwalbe,Moja lasta
Celebrity,Der Prominente,Die Prominenten,Der,Prominente,prominente,0,Mein Prominente,Moja slavna osoba
Wilderness,Die Wildnis,(usually uncountable),Die,Wildnis,wildnis,1,Meine Wildnis,Moja divljina
Triangle,Das Dreieck,Die Dreiecke,Das,Dreieck,dreieck,2,Mein Dreieck,Moj trokut
Stench,Der Gestank,(usually uncountable),Der,Gestank,gestank,0,Mein Gestank,Moj smrad
Laboratory,Das Labor,Die Labore,Das,Labor,labor,2,Mein Labor,Moj laboratorij
Array,Das Array,Die Arrays,Das,Array,array,2,Mein Array,Moj niz
Valentine,Der Valentine,Die Valentines,Der,Valentine,valentine,0,Mein Valentine,Moje Valentinovo
Retirement,Der Ruhestand,(usually uncountable),Der,Ruhestand,ruhestand,0,Mein Ruhestand,Moja mirovina
Ski,Der Ski,Die Skis,Der,Ski,ski,0,Mein Ski,Moja skija
Edition,Die Ausgabe,Die Ausgaben,Die,Ausgabe,ausgabe,1,Meine Ausgabe,Moj problem
Supervisor,Der Vorgesetzte,Die Vorgesetzten,Der,Vorgesetzte,vorgesetzte,0,Mein Vorgesetzte,Moj nadređeni
Expanse,Die Weite,Die Weiten,Die,Weite,weite,1,Meine Weite,Moja prostranost
Ending,Das Ende,Die Enden,Das,Ende,ende,2,Mein Ende,Moj kraj
Moss,Der Moos,(usually uncountable),Der,Moos,moos,0,Mein Moos,Moja mahovina
Gale,Der Sturm,Die Stürme,Der,Sturm,sturm,0,Mein Sturm,Moja oluja
Loyalty,Die Treue,(usually uncountable),Die,Treue,treue,1,Meine Treue,Moja odanost
Lavender,Der Lavendel,(usually uncountable),Der,Lavendel,lavendel,0,Mein Lavendel,Moja lavanda
Pardon,Die Verzeihung,(usually uncountable),Die,Verzeihung,verzeihung,1,Meine Verzeihung,Moj oprost
Ashtray,Der Aschenbecher,Die Aschenbecher,Der,Aschenbecher,aschenbecher,0,Mein Aschenbecher,Moja pepeljara
Shard,Der Scherben,Die Scherben,Der,Scherben,scherben,0,Mein Scherben,Moje krhotine
Corporation,Das Unternehmen,Die Unternehmen,Das,Unternehmen,unternehmen,2,Mein Unternehmen,Moja tvrtka
Distraction,Die Ablenkung,Die Ablenkungen,Die,Ablenkung,ablenkung,1,Meine Ablenkung,Moja distrakcija
Majesty,Die Majestät,(usually uncountable),Die,Majestät,majestät,1,Meine Majestät,Moje Veličanstvo
