english,singular,plural,article,noun,x,y,sing+plural,catalan
Entertainment,Die Unterhaltung,Die Unterhaltungen,Die,Unterhaltung,unterhaltung,1,"Die Unterhaltung, Die Unterhaltungen","L'entreteniment, les converses"
Crab,Der Krebs,Die Krebse,Der,Krebs,krebs,0,"Der Krebs, Die Krebse","El càncer, els càncers"
Groan,Das Stöhnen,Die Stöhne,Das,Stöhnen,stöhnen,2,"Das Stöhnen, Die Stöhne","Els gemecs, els gemecs"
Academy,Die Akademie,Die Akademien,Die,Akademie,akademie,1,"Die Akademie, Die Akademien","L'Acadèmia, Les Acadèmies"
Longing,Die Sehnsucht,Die Sehnsüchte,Die,Sehnsucht,sehnsucht,1,"Die Sehnsucht, Die Sehnsüchte","L'enyorança, els anhels"
Kip,Der Kip,Die Kips,Der,Kip,kip,0,"Der Kip, Die Kips","Els Kip, els Kips"
Drill,Der Bohrer,Die Bohrer,Der,Bohrer,bohrer,0,"Der Bohrer, Die Bohrer","El trepant, els trepants"
Luggage,Das Gepäck,(usually uncountable),Das,Gepäck,gepäck,2,"Das Gepäck, (usually uncountable)","L'equipatge, els equipatges"
Canopy,Das Baldachin,Die Baldachine,Das,Baldachin,baldachin,2,"Das Baldachin, Die Baldachine","La marquesina, les marquesines"
Thrill,Der Nervenkitzel,Die Nervenkitzel,Der,Nervenkitzel,nervenkitzel,0,"Der Nervenkitzel, Die Nervenkitzel","L'emoció, les emocions"
Virtue,Die Tugend,Die Tugenden,Die,Tugend,tugend,1,"Die Tugend, Die Tugenden","La virtut, les virtuts"
Marsh,Das Sumpf,Die Sümpfe,Das,Sumpf,sumpf,2,"Das Sumpf, Die Sümpfe","El pantà, els pantans"
Chimney,Der Schornstein,Die Schornsteine,Der,Schornstein,schornstein,0,"Der Schornstein, Die Schornsteine","La xemeneia, les xemeneies"
Anchor,Der Anker,Die Anker,Der,Anker,anker,0,"Der Anker, Die Anker","L'àncora, les àncores"
Harmony,Die Harmonie,Die Harmonien,Die,Harmonie,harmonie,1,"Die Harmonie, Die Harmonien","L'harmonia, les harmonies"
Maple,Der Ahorn,Die Ahorne,Der,Ahorn,ahorn,0,"Der Ahorn, Die Ahorne","L'auró, els aurons"
Bunny,Das Häschen,Die Häschen,Das,Häschen,häschen,2,"Das Häschen, Die Häschen","El conill, els conillets"
Mode,Die Mode,(usually uncountable),Die,Mode,mode,1,"Die Mode, (usually uncountable)","la Moda, -"
Throne,Der Thron,Die Throne,Der,Thron,thron,0,"Der Thron, Die Throne","El tron, els trons"
Application,Die Anwendung,Die Anwendungen,Die,Anwendung,anwendung,1,"Die Anwendung, Die Anwendungen","L'aplicació, les aplicacions"
Physics,Die Physik,(usually uncountable),Die,Physik,physik,1,"Die Physik, (usually uncountable)","la Física, -"
Neon,Das Neon,(usually uncountable),Das,Neon,neon,2,"Das Neon, (usually uncountable)","El neó, -"
Airlock,Die Luftschleuse,Die Luftschleusen,Die,Luftschleuse,luftschleuse,1,"Die Luftschleuse, Die Luftschleusen","El bloc, els blocs"
Fatigue,Die Ermüdung,(usually uncountable),Die,Ermüdung,ermüdung,1,"Die Ermüdung, (usually uncountable)","la Fatiga, -"
Thanksgiving,Der Dank,(usually uncountable),Der,Dank,dank,0,"Der Dank, (usually uncountable)","la gràcia, les gràcies"
Manuscript,Das Manuskript,Die Manuskripte,Das,Manuskript,manuskript,2,"Das Manuskript, Die Manuskripte","El manuscrit, els manuscrits"
Basis,Die Basis,Die Basen,Die,Basis,basis,1,"Die Basis, Die Basen","La base, les bases"
Memorial,Das Denkmal,Die Denkmäler,Das,Denkmal,denkmal,2,"Das Denkmal, Die Denkmäler","El monument, els monuments"
Cupboard,Der Schrank,Die Schränke,Der,Schrank,schrank,0,"Der Schrank, Die Schränke","El gabinet, els armaris"
Leap,Der Sprung,Die Sprünge,Der,Sprung,sprung,0,"Der Sprung, Die Sprünge","El salt, els salts"
Japanese,Der Japaner,Die Japaner,Der,Japaner,japaner,0,"Der Japaner, Die Japaner","Els japonesos, els japonesos"
Engineering,Das Ingenieurwesen,(usually uncountable),Das,Ingenieurwesen,ingenieurwesen,2,"Das Ingenieurwesen, (usually uncountable)","l'Enginyeria, les enginyeries"
Left,Die Linke,(usually uncountable),Die,Linke,linke,1,"Die Linke, (usually uncountable)","l'esquerra, les esquerres"
Ache,Der Schmerz,Die Schmerzen,Der,Schmerz,schmerz,0,"Der Schmerz, Die Schmerzen","El dolor, el dolor"
Bronze,Die Bronze,(usually uncountable),Die,Bronze,bronze,1,"Die Bronze, (usually uncountable)","El bronze, -"
Association,Die Vereinigung,Die Vereinigungen,Die,Vereinigung,vereinigung,1,"Die Vereinigung, Die Vereinigungen","L'Associació, les Associacions"
Fleet,Die Flotte,Die Flotten,Die,Flotte,flotte,1,"Die Flotte, Die Flotten","La flota, les flotes"
Marker,Der Marker,Die Marker,Der,Marker,marker,0,"Der Marker, Die Marker","El marcador, els marcadors"
Prey,Die Beute,(usually uncountable),Die,Beute,beute,1,"Die Beute, (usually uncountable)","La presa, -"
Dove,Die Taube,Die Tauben,Die,Taube,taube,1,"Die Taube, Die Tauben","El colom, els coloms"
Grasp,Der Griff,Die Griffe,Der,Griff,griff,0,"Der Griff, Die Griffe","El mànec, les nanses"
Episode,Die Episode,Die Episoden,Die,Episode,episode,1,"Die Episode, Die Episoden","L'episodi, els episodis"
Origin,Der Ursprung,Die Ursprünge,Der,Ursprung,ursprung,0,"Der Ursprung, Die Ursprünge","L'origen, els orígens"
Vacuum,Das Vakuum,Die Vakua,Das,Vakuum,vakuum,2,"Das Vakuum, Die Vakua","El buit, el buit"
Cathedral,Die Kathedrale,Die Kathedralen,Die,Kathedrale,kathedrale,1,"Die Kathedrale, Die Kathedralen","La Catedral, Les Catedrals"
Management,Das Management,(usually uncountable),Das,Management,management,2,"Das Management, (usually uncountable)","La direcció, -"
Down,Die Daune,Die Daunen,Die,Daune,daune,1,"Die Daune, Die Daunen","El baix, el cap avall"
Continent,Der Kontinent,Die Kontinente,Der,Kontinent,kontinent,0,"Der Kontinent, Die Kontinente","El continent, els continents"
Volunteer,Der Freiwillige,Die Freiwilligen,Der,Freiwillige,freiwillige,0,"Der Freiwillige, Die Freiwilligen","El voluntari, els voluntaris"
Soccer,Der Fußball,(usually uncountable),Der,Fußball,fußball,0,"Der Fußball, (usually uncountable)","el Futbol, -"
Hem,Der Saum,Die Säume,Der,Saum,saum,0,"Der Saum, Die Säume","La vora, les vores"
Mention,Die Erwähnung,Die Erwähnungen,Die,Erwähnung,erwähnung,1,"Die Erwähnung, Die Erwähnungen","La menció, les mencions"
Lust,Die Lust,(usually uncountable),Die,Lust,lust,1,"Die Lust, (usually uncountable)","la gana, les ganes"
Giggle,Das Kichern,(usually uncountable),Das,Kichern,kichern,2,"Das Kichern, (usually uncountable)","la rialla, les rialles"
Classmate,Der Klassenkamerad,Die Klassenkameraden,Der,Klassenkamerad,klassenkamerad,0,"Der Klassenkamerad, Die Klassenkameraden","El company de classe, els companys de classe"
Cleaning,Das Reinigen,(usually uncountable),Das,Reinigen,reinigen,2,"Das Reinigen, (usually uncountable)","la Neteja, -"
Receptionist,Der Empfangsmitarbeiter,Die Empfangsmitarbeiter,Der,Empfangsmitarbeiter,empfangsmitarbeiter,0,"Der Empfangsmitarbeiter, Die Empfangsmitarbeiter","La recepcionista, les recepcionistes"
Caller,Die Anrufer,(plural noun),Die,Anrufer,anrufer,1,"Die Anrufer, (plural noun)","el cridaner, els crinaders"
Pursuit,Die Verfolgung,Die Verfolgungen,Die,Verfolgung,verfolgung,1,"Die Verfolgung, Die Verfolgungen","La persecució, les persecucions"
Contempt,Die Verachtung,(usually uncountable),Die,Verachtung,verachtung,1,"Die Verachtung, (usually uncountable)","el Menyspreu, -"
Sacrifice,Das Opfer,Die Opfer,Das,Opfer,opfer,2,"Das Opfer, Die Opfer","La víctima, les víctimes"
Grandparent,Der Großelternteil,Die Großelternteile,Der,Großelternteil,großelternteil,0,"Der Großelternteil, Die Großelternteile","L'avi, els avis"
Threshold,Die Schwelle,Die Schwellen,Die,Schwelle,schwelle,1,"Die Schwelle, Die Schwellen","El llindar, els llindars"
Deed,Die Tat,Die Taten,Die,Tat,tat,1,"Die Tat, Die Taten","L'escriptura, les escriptures"
Countryside,Die Landschaft,Die Landschaften,Die,Landschaft,landschaft,1,"Die Landschaft, Die Landschaften","El paisatge, els paisatges"
Artifact,Das Artefakt,Die Artefakte,Das,Artefakt,artefakt,2,"Das Artefakt, Die Artefakte","L'artefacte, els artefactes"
Wrinkle,Die Falte,Die Falten,Die,Falte,falte,1,"Die Falte, Die Falten","El plec, les arrugues"
Magician,Der Magier,Die Magier,Der,Magier,magier,0,"Der Magier, Die Magier","El mag, els mags"
Pang,Die Schmerzen,(plural noun),Die,Schmerzen,schmerzen,1,"Die Schmerzen, (plural noun)","el dolor, Els dolors"
Italian,Der Italiener,Die Italiener,Der,Italiener,italiener,0,"Der Italiener, Die Italiener","L'italià, els italians"
Eternity,Die Ewigkeit,(usually uncountable),Die,Ewigkeit,ewigkeit,1,"Die Ewigkeit, (usually uncountable)","l'Eternitat, les eternitats"
Slate,Die Schiefertafel,Die Schiefertafeln,Die,Schiefertafel,schiefertafel,1,"Die Schiefertafel, Die Schiefertafeln","La pissarra, la pissarra"
Stairwell,Das Treppenhaus,Die Treppenhäuser,Das,Treppenhaus,treppenhaus,2,"Das Treppenhaus, Die Treppenhäuser","L'escala, les escales"
Announcement,Die Ankündigung,Die Ankündigungen,Die,Ankündigung,ankündigung,1,"Die Ankündigung, Die Ankündigungen","L'anunci, els anuncis"
Motive,Das Motiv,Die Motive,Das,Motiv,motiv,2,"Das Motiv, Die Motive","El motiu, els motius"
Mechanic,Der Mechaniker,Die Mechaniker,Der,Mechaniker,mechaniker,0,"Der Mechaniker, Die Mechaniker","El mecànic, el mecànic"
Ally,Der Verbündete,Die Verbündeten,Der,Verbündete,verbündete,0,"Der Verbündete, Die Verbündeten","L'aliat, els aliats"
Vase,Die Vase,Die Vasen,Die,Vase,vase,1,"Die Vase, Die Vasen","El gerro, els gerros"
Salesman,Der Verkäufer,Die Verkäufer,Der,Verkäufer,verkäufer,0,"Der Verkäufer, Die Verkäufer","El venedor, els venedors"
Therapist,Der Therapeut,Die Therapeuten,Der,Therapeut,therapeut,0,"Der Therapeut, Die Therapeuten","El terapeuta, els terapeutes"
Granny,Die Oma,Die Omas,Die,Oma,oma,1,"Die Oma, Die Omas","L'àvia, les àvies"
Maverick,Der Einzelgänger,Die Einzelgänger,Der,Einzelgänger,einzelgänger,0,"Der Einzelgänger, Die Einzelgänger","El solitari, els solitaris"
Bandage,Der Verband,Die Verbände,Der,Verband,verband,0,"Der Verband, Die Verbände","L'Associació, les Associacions"
Ham,Der Schinken,(usually uncountable),Der,Schinken,schinken,0,"Der Schinken, (usually uncountable)","El pernil, -"
Carter,Der Carter,Die Carter,Der,Carter,carter,0,"Der Carter, Die Carter","El Carter, el Carter"
Investment,Die Investition,Die Investitionen,Die,Investition,investition,1,"Die Investition, Die Investitionen","La inversió, les inversions"
Appeal,Der Reiz,Die Reize,Der,Reiz,reiz,0,"Der Reiz, Die Reize","L'encant, els encants"
Innocence,Die Unschuld,(usually uncountable),Die,Unschuld,unschuld,1,"Die Unschuld, (usually uncountable)","l'Innocència, les innocències"
Calendar,Der Kalender,Die Kalender,Der,Kalender,kalender,0,"Der Kalender, Die Kalender","El calendari, els calendaris"
Rooftop,Das Dach,Die Dächer,Das,Dach,dach,2,"Das Dach, Die Dächer","El sostre, els sostres"
Combat,Der Kampf,Die Kämpfe,Der,Kampf,kampf,0,"Der Kampf, Die Kämpfe","La lluita, les baralles"
Revelation,Die Offenbarung,Die Offenbarungen,Die,Offenbarung,offenbarung,1,"Die Offenbarung, Die Offenbarungen","La Revelació, Les Revelacions"
Pancake,Der Pfannkuchen,Die Pfannkuchen,Der,Pfannkuchen,pfannkuchen,0,"Der Pfannkuchen, Die Pfannkuchen","La crep, les creps"
Asteroid,Der Asteroid,Die Asteroiden,Der,Asteroid,asteroid,0,"Der Asteroid, Die Asteroiden","L'asteroide, els asteroides"
Postcard,Die Postkarte,Die Postkarten,Die,Postkarte,postkarte,1,"Die Postkarte, Die Postkarten","La postal, les postals"
Garment,Das Kleidungsstück,Die Kleidungsstücke,Das,Kleidungsstück,kleidungsstück,2,"Das Kleidungsstück, Die Kleidungsstücke","El vestit, els vestits"
Determination,Die Bestimmung,Die Bestimmungen,Die,Bestimmung,bestimmung,1,"Die Bestimmung, Die Bestimmungen","La disposició, les disposicions"
Tractor,Der Traktor,Die Traktoren,Der,Traktor,traktor,0,"Der Traktor, Die Traktoren","El tractor, els tractors"
Berry,Die Beere,Die Beeren,Die,Beere,beere,1,"Die Beere, Die Beeren","La baia, les baies"
Surroundings,Die Umgebung,Die Umgebungen,Die,Umgebung,umgebung,1,"Die Umgebung, Die Umgebungen","El medi ambient, els entorns"
Clump,Der Klumpen,Die Klumpen,Der,Klumpen,klumpen,0,"Der Klumpen, Die Klumpen","El bony, els grumolls"
Offense,Die Straftat,Die Straftaten,Die,Straftat,straftat,1,"Die Straftat, Die Straftaten","El crim, els crims"
Introduction,Die Einführung,Die Einführungen,Die,Einführung,einführung,1,"Die Einführung, Die Einführungen","La introducció, les presentacions"
Butler,Der Butler,Die Diener,Der,Butler,butler,0,"Der Butler, Die Diener","El majordom, els criats"
Cough,Der Husten,Die Husten,Der,Husten,husten,0,"Der Husten, Die Husten","La tos, la tos"
Granite,Der Granit,(usually uncountable),Der,Granit,granit,0,"Der Granit, (usually uncountable)","El granit, -"
Ambassador,Der Botschafter,Die Botschafter,Der,Botschafter,botschafter,0,"Der Botschafter, Die Botschafter","Els ambaixadors, els ambaixadors"
Turning,Die Abbiegung,Die Abbiegungen,Die,Abbiegung,abbiegung,1,"Die Abbiegung, Die Abbiegungen","El gir, els girs"
Sitting,Das Sitzen,(usually uncountable),Das,Sitzen,sitzen,2,"Das Sitzen, (usually uncountable)","el seure, -"
Compliment,Das Kompliment,Die Komplimente,Das,Kompliment,kompliment,2,"Das Kompliment, Die Komplimente","El compliment, els compliments"
Carton,Der Karton,Die Kartons,Der,Karton,karton,0,"Der Karton, Die Kartons","La caixa, les caixes"
Doorbell,Die Türklingel,Die Türklingeln,Die,Türklingel,türklingel,1,"Die Türklingel, Die Türklingeln","El timbre, els timbres"
Certainty,Die Gewissheit,Die Gewissheiten,Die,Gewissheit,gewissheit,1,"Die Gewissheit, Die Gewissheiten","La certesa, les certeses"
Politician,Der Politiker,Die Politiker,Der,Politiker,politiker,0,"Der Politiker, Die Politiker","El polític, els polítics"
Gratitude,Die Dankbarkeit,(usually uncountable),Die,Dankbarkeit,dankbarkeit,1,"Die Dankbarkeit, (usually uncountable)","la Gratitud, -"
Current,Der Strom,Die Ströme,Der,Strom,strom,0,"Der Strom, Die Ströme","El rierol, els corrents"
Gloom,Die Dunkelheit,(usually uncountable),Die,Dunkelheit,dunkelheit,1,"Die Dunkelheit, (usually uncountable)","La foscor, -"
Plaster,Der Gips,(usually uncountable),Der,Gips,gips,0,"Der Gips, (usually uncountable)","El guix, -"
Settlement,Die Siedlung,Die Siedlungen,Die,Siedlung,siedlung,1,"Die Siedlung, Die Siedlungen","L'assentament, els assentaments"
Chop,Der Hacken,Die Hacken,Der,Hacken,hacken,0,"Der Hacken, Die Hacken","Les aixades, les aixades"
Homicide,Der Totschlag,Die Totschläge,Der,Totschlag,totschlag,0,"Der Totschlag, Die Totschläge","L'homicidi, els homicidis"
Aluminum,Das Aluminium,(usually uncountable),Das,Aluminium,aluminium,2,"Das Aluminium, (usually uncountable)","L'alumini, els aluminis"
Boulevard,Die Allee,Die Alleen,Die,Allee,allee,1,"Die Allee, Die Alleen","L'avinguda, les avingudes"
Pupil,Der Schüler,Die Schüler,Der,Schüler,schüler,0,"Der Schüler, Die Schüler","L'estudiant, els estudiants"
Float,Die Schwimmhilfe,Die Schwimmhilfen,Die,Schwimmhilfe,schwimmhilfe,1,"Die Schwimmhilfe, Die Schwimmhilfen","L'ajuda, les ajudes"
Profession,Der Beruf,Die Berufe,Der,Beruf,beruf,0,"Der Beruf, Die Berufe","La professió, les professions"
Retreat,Der Rückzugsort,Die Rückzugsorte,Der,Rückzugsort,rückzugsort,0,"Der Rückzugsort, Die Rückzugsorte","El retir, els retirs"
Intersection,Die Kreuzung,Die Kreuzungen,Die,Kreuzung,kreuzung,1,"Die Kreuzung, Die Kreuzungen","Les cruïlles, els encreuaments"
Scheme,Das Schema,Die Schemata,Das,Schema,schema,2,"Das Schema, Die Schemata","L'esquema, els esquemes"
Emptiness,Die Leere,(usually uncountable),Die,Leere,leere,1,"Die Leere, (usually uncountable)","El buit, -"
Publisher,Der Verleger,Die Verleger,Der,Verleger,verleger,0,"Der Verleger, Die Verleger","L'editor, els editors"
Circus,Der Zirkus,Die Zirkusse,Der,Zirkus,zirkus,0,"Der Zirkus, Die Zirkusse","El circ, els circs"
Dimension,Die Dimension,Die Dimensionen,Die,Dimension,dimension,1,"Die Dimension, Die Dimensionen","La dimensió, les dimensions"
Zoo,Der Zoo,Die Zoos,Der,Zoo,zoo,0,"Der Zoo, Die Zoos","El Zoo, Els Zoos"
Sickness,Die Krankheit,Die Krankheiten,Die,Krankheit,krankheit,1,"Die Krankheit, Die Krankheiten","La malaltia, les malalties"
Messenger,Der Bote,Die Boten,Der,Bote,bote,0,"Der Bote, Die Boten","El missatger, els missatgers"
Beau,Der Schatz,Die Schätze,Der,Schatz,schatz,0,"Der Schatz, Die Schätze","El tresor, els tresors"
Tangle,Das Gewirr,Die Gewirre,Das,Gewirr,gewirr,2,"Das Gewirr, Die Gewirre","L'embolic, els embolics"
Personnel,Das Personal,(usually uncountable),Das,Personal,personal,2,"Das Personal, (usually uncountable)","El personal, -"
Strategy,Die Strategie,Die Strategien,Die,Strategie,strategie,1,"Die Strategie, Die Strategien","L'estratègia, les estratègies"
Desperation,Die Verzweiflung,(usually uncountable),Die,Verzweiflung,verzweiflung,1,"Die Verzweiflung, (usually uncountable)","la Desesperació, -"
Businessman,Der Geschäftsmann,Die Geschäftsleute,Der,Geschäftsmann,geschäftsmann,0,"Der Geschäftsmann, Die Geschäftsleute","L'empresari, els empresaris"
Pod,Die Hülse,Die Hülsen,Die,Hülse,hülse,1,"Die Hülse, Die Hülsen","La màniga, les mànigues"
Drain,Der Abfluss,Die Abflüsse,Der,Abfluss,abfluss,0,"Der Abfluss, Die Abflüsse","El desguàs, els desguassos"
Strawberry,Die Erdbeere,Die Erdbeeren,Die,Erdbeere,erdbeere,1,"Die Erdbeere, Die Erdbeeren","La maduixa, les maduixes"
Anniversary,Das Jubiläum,Die Jubiläen,Das,Jubiläum,jubiläum,2,"Das Jubiläum, Die Jubiläen","L'aniversari, els aniversaris"
Binoculars,Das Fernglas,Die Ferngläser,Das,Fernglas,fernglas,2,"Das Fernglas, Die Ferngläser","Els prismàtics, els prismàtics"
Gulf,Der Golf,Die Golf,Der,Golf,golf,0,"Der Golf, Die Golf","El Golf, El Golf"
Discipline,Die Disziplin,(usually uncountable),Die,Disziplin,disziplin,1,"Die Disziplin, (usually uncountable)","La disciplina, -"
Hedge,Die Hecke,Die Hecken,Die,Hecke,hecke,1,"Die Hecke, Die Hecken","La bardissa, les tanques"
Moan,Das Stöhnen,(usually uncountable),Das,Stöhnen,stöhnen,2,"Das Stöhnen, (usually uncountable)","el gemec, els gemecs"
Income,Das Einkommen,Die Einkommen,Das,Einkommen,einkommen,2,"Das Einkommen, Die Einkommen","l'ingrés, els ingressos"
Myth,Der Mythos,Die Mythen,Der,Mythos,mythos,0,"Der Mythos, Die Mythen","El mite, els mites"
Shutter,Der Verschluss,Die Verschlüsse,Der,Verschluss,verschluss,0,"Der Verschluss, Die Verschlüsse","El tancament, els tancaments"
Raft,Das Floß,Die Floße,Das,Floß,floß,2,"Das Floß, Die Floße","La bassa, les basses"
Physician,Der Arzt,Die Ärzte,Der,Arzt,arzt,0,"Der Arzt, Die Ärzte","El metge, els metges"
Ambition,Der Ehrgeiz,(usually uncountable),Der,Ehrgeiz,ehrgeiz,0,"Der Ehrgeiz, (usually uncountable)","L'ambició, les ambicions"
Camel,Das Kamel,Die Kamele,Das,Kamel,kamel,2,"Das Kamel, Die Kamele","El camell, els camells"
Beating,Das Schlagen,(usually uncountable),Das,Schlagen,schlagen,2,"Das Schlagen, (usually uncountable)",La pallissa -
Acid,Die Säure,Die Säuren,Die,Säure,säure,1,"Die Säure, Die Säuren","L'àcid, els àcids"
Cereal,Das Getreide,(usually uncountable),Das,Getreide,getreide,2,"Das Getreide, (usually uncountable)","El gra, -"
Basin,Das Becken,Die Becken,Das,Becken,becken,2,"Das Becken, Die Becken","La piscina, les piscines"
Nightgown,Das Nachthemd,Die Nachthemden,Das,Nachthemd,nachthemd,2,"Das Nachthemd, Die Nachthemden","La camisa de dormir, les camises de dormir"
Internet,Das Internet,(usually uncountable),Das,Internet,internet,2,"Das Internet, (usually uncountable)","l'Internet, els internets"
Cockpit,Das Cockpit,Die Cockpits,Das,Cockpit,cockpit,2,"Das Cockpit, Die Cockpits","La cabina, les cabines"
Wreck,Das Wrack,Die Wracks,Das,Wrack,wrack,2,"Das Wrack, Die Wracks","El naufragi, els naufragis"
Wig,Die Perücke,Die Perücken,Die,Perücke,perücke,1,"Die Perücke, Die Perücken","La perruca, les perruques"
Rein,Der Zügel,Die Zügel,Der,Zügel,zügel,0,"Der Zügel, Die Zügel","Les regnes, les regnes"
Recorder,Der Rekorder,Die Rekorder,Der,Rekorder,rekorder,0,"Der Rekorder, Die Rekorder","La flauta, la flauta"
Pork,Das Schweinefleisch,(usually uncountable),Das,Schweinefleisch,schweinefleisch,2,"Das Schweinefleisch, (usually uncountable)","el Porc, -"
Hound,Der Hund,Die Hunde,Der,Hund,hund,0,"Der Hund, Die Hunde","El gos, els gossos"
Boundary,Die Grenze,Die Grenzen,Die,Grenze,grenze,1,"Die Grenze, Die Grenzen","La frontera, les fronteres"
Exam,Die Prüfung,Die Prüfungen,Die,Prüfung,prüfung,1,"Die Prüfung, Die Prüfungen","L'examen, els exàmens"
Courtesy,Die Höflichkeit,(usually uncountable),Die,Höflichkeit,höflichkeit,1,"Die Höflichkeit, (usually uncountable)","la Cortesia, -"
Assistance,Die Hilfe,(usually uncountable),Die,Hilfe,hilfe,1,"Die Hilfe, (usually uncountable)","L'ajuda, les ajudes"
Cheekbone,Der Wangenknochen,Die Wangenknochen,Der,Wangenknochen,wangenknochen,0,"Der Wangenknochen, Die Wangenknochen","Els pòmuls, els pòmuls"
Whip,Die Peitsche,Die Peitschen,Die,Peitsche,peitsche,1,"Die Peitsche, Die Peitschen","El fuet, els fuets"
Pilgrim,Der Pilger,Die Pilger,Der,Pilger,pilger,0,"Der Pilger, Die Pilger","El pelegrí, els pelegrins"
Grease,Das Fett,(usually uncountable),Das,Fett,fett,2,"Das Fett, (usually uncountable)","el Greix, els greixos"
Collapse,Der Zusammenbruch,Die Zusammenbrüche,Der,Zusammenbruch,zusammenbruch,0,"Der Zusammenbruch, Die Zusammenbrüche","El col·lapse, els col·lapses"
Faculty,Die Fakultät,Die Fakultäten,Die,Fakultät,fakultät,1,"Die Fakultät, Die Fakultäten","La Facultat, Les Facultats"
Reminder,Die Erinnerung,Die Erinnerungen,Die,Erinnerung,erinnerung,1,"Die Erinnerung, Die Erinnerungen","La memòria, els records"
Sage,Der Weise,Die Weisen,Der,Weise,weise,0,"Der Weise, Die Weisen","El savi, el savi"
Asphalt,Der Asphalt,(usually uncountable),Der,Asphalt,asphalt,0,"Der Asphalt, (usually uncountable)","L'asfalt, els asfalts"
Privilege,Das Privileg,Die Privilegien,Das,Privileg,privileg,2,"Das Privileg, Die Privilegien","El privilegi, els privilegis"
Stairway,Die Treppe,Die Treppen,Die,Treppe,treppe,1,"Die Treppe, Die Treppen","Les escales, les escales"
Maintenance,Die Wartung,(usually uncountable),Die,Wartung,wartung,1,"Die Wartung, (usually uncountable)","el Manteniment, -"
Sweetie,Der Schatz,Die Schätze,Der,Schatz,schatz,0,"Der Schatz, Die Schätze","El tresor, els tresors"
Orchard,Der Obstgarten,Die Obstgärten,Der,Obstgarten,obstgarten,0,"Der Obstgarten, Die Obstgärten","L'hort, els horts"
Cot,Der Kinderbett,Die Kinderbetten,Der,Kinderbett,kinderbett,0,"Der Kinderbett, Die Kinderbetten","El bressol, els bressols"
Pouch,Die Tasche,Die Taschen,Die,Tasche,tasche,1,"Die Tasche, Die Taschen","La bossa, les bosses"
Lighter,Das Feuerzeug,Die Feuerzeuge,Das,Feuerzeug,feuerzeug,2,"Das Feuerzeug, Die Feuerzeuge","l'encenedor, els encenedors"
Kitty,Das Kätzchen,Die Kätzchen,Das,Kätzchen,kätzchen,2,"Das Kätzchen, Die Kätzchen","El gatet, els gatets"
Formation,Die Formation,Die Formationen,Die,Formation,formation,1,"Die Formation, Die Formationen","La formació, les formacions"
Snack,Der Snack,Die Snacks,Der,Snack,snack,0,"Der Snack, Die Snacks","El berenar, els aperitius"
Talking,Das Reden,(usually uncountable),Das,Reden,reden,2,"Das Reden, (usually uncountable)","el Parlar, -"
Op,Der Einsatz,Die Einsätze,Der,Einsatz,einsatz,0,"Der Einsatz, Die Einsätze","El joc, els jocs"
Shriek,Der Schrei,Die Schreie,Der,Schrei,schrei,0,"Der Schrei, Die Schreie","El crit, els crits"
Sculpture,Die Skulptur,Die Skulpturen,Die,Skulptur,skulptur,1,"Die Skulptur, Die Skulpturen","L'escultura, les escultures"
Chairman,Der Vorsitzende,Die Vorsitzenden,Der,Vorsitzende,vorsitzende,0,"Der Vorsitzende, Die Vorsitzenden","El president, els presidents"
Sum,Die Summe,Die Summen,Die,Summe,summe,1,"Die Summe, Die Summen","La suma, les sumes"
Carrot,Die Möhre,Die Möhren,Die,Möhre,möhre,1,"Die Möhre, Die Möhren","La pastanaga, les pastanagues"
Ripple,Die Welle,Die Wellen,Die,Welle,welle,1,"Die Welle, Die Wellen","L'onada, les onades"
Stripe,Der Streifen,Die Streifen,Der,Streifen,streifen,0,"Der Streifen, Die Streifen","La ratlla, les ratlles"
Cavern,Die Höhle,Die Höhlen,Die,Höhle,höhle,1,"Die Höhle, Die Höhlen","La cova, les coves"
Radar,Das Radar,(usually uncountable),Das,Radar,radar,2,"Das Radar, (usually uncountable)","El radar, -"
Ponytail,Der Pferdeschwanz,Die Pferdeschwänze,Der,Pferdeschwanz,pferdeschwanz,0,"Der Pferdeschwanz, Die Pferdeschwänze","La cua de cavall, les cues de cavall"
Designer,Der Designer,Die Designer,Der,Designer,designer,0,"Der Designer, Die Designer","El dissenyador, els dissenyadors"
Surge,Der Schub,Die Schübe,Der,Schub,schub,0,"Der Schub, Die Schübe","L'empenta, les empentes"
Heir,Der Erbe,Die Erben,Der,Erbe,erbe,0,"Der Erbe, Die Erben","L'hereu, els hereus"
Vault,Das Gewölbe,Die Gewölbe,Das,Gewölbe,gewölbe,2,"Das Gewölbe, Die Gewölbe","La volta, les voltes"
Sissy,Die Memme,Die Memmen,Die,Memme,memme,1,"Die Memme, Die Memmen","El Memme, el Memmen"
Scotch,Der Whisky,Die Whiskys,Der,Whisky,whisky,0,"Der Whisky, Die Whiskys","El whisky, els whiskies"
Stillness,Die Stille,(usually uncountable),Die,Stille,stille,1,"Die Stille, (usually uncountable)","El silenci, -"
Tunic,Die Tunika,Die Tuniken,Die,Tunika,tunika,1,"Die Tunika, Die Tuniken","La túnica, les túniques"
Think,Der Gedanke,Die Gedanken,Der,Gedanke,gedanke,0,"Der Gedanke, Die Gedanken","El pensament, els pensaments"
Penis,Der Penis,Die Penisse,Der,Penis,penis,0,"Der Penis, Die Penisse","El penis, els penis"
